student_id,name,group
1,Abigail Johnson,1
2,Aidan Green,2
3,Aiden Martinez,3
4,Alexander Garcia,1
5,Alexander Mitchell,2
6,Amanda Anderson,3
7,Amelia Carter,1
8,Andrew Thompson,2
9,Ashley King,3
10,Ava Lewis,1
11,Ava Martinez,2
12,Avery Green,3
13,Benjamin Stewart,1
14,Brian Gonzalez,2
15,Caleb Bell,3
16,Carter Wilson,1
17,Charlotte Thompson,2
18,Chloe Bell,3
19,Chloe Stewart,1
20,Christian Mitchell,2
21,Christopher Hill,3
22,Christopher Taylor,1
23,Daniel Baker,2
24,Daniel Thompson,3
25,David Clark,1
26,David Wilson,2
27,Dylan Moore,3
28,Elijah White,1
29,Ella Adams,2
30,Ella Walker,3
31,Emily Brown,1
32,Emily Rodriguez,2
33,Emma Perez,3
34,Emma Turner,1
35,Ethan Carter,2
36,Ethan Clark,3
37,Evelyn Turner,1
38,Grace Cooper,2
39,Grace Martinez,3
40,Grayson Turner,1
41,Hailey Davis,2
42,Hannah Adams,3
43,Harper Hill,1
44,Harper Rodriguez,2
45,Isabella Hill,3
46,Isabella Phillips,1
47,Jack Parker,2
48,Jackson King,3
49,Jacob Scott,1
50,James Garcia,2
51,Jameson Evans,1
52,Jane Smith,2
53,Jessica Green,3
54,John Doe,1
55,Joshua Perez,2
56,Justin Lee,3
57,Laura Hernandez,1
58,Lauren Carter,2
59,Layla Lopez,3
60,Liam Davis,1
61,Liam Rodriguez,2
62,Lily Scott,3
63,Logan Cooper,1
64,Logan Nelson,2
65,Lucas Perez,3
66,Mason Adams,1
67,Mason King,2
68,Matthew Walker,3
69,Megan Scott,1
70,Mia Nelson,2
71,Mia Rodriguez,3
72,Michael Brown,1
73,Michael Johnson,2
74,Nathan Bell,3
75,Nathan Hall,1
76,Nicholas Lewis,2
77,Noah Garcia,3
78,Olivia White,1
79,Owen Rivera,2
80,Samantha Adams,3
81,Samantha Wright,1
82,Sarah Martinez,2
83,Scarlett Hall,3
84,Sophia Martinez,1
85,Sophia Phillips,2
86,Sophie Evans,3
87,Stella Moore,1
88,Victoria Rivera,2
89,William Wright,3
90,Zoe Martinez,1
